Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7888888888888889,0.6808510638297872,0.8888888888888888,0.7710843373493976
Random Forest,0.8,0.725,0.8055555555555556,0.7631578947368421
XGBoost,0.8222222222222222,0.7272727272727273,0.8888888888888888,0.8
VotingClassifier,0.8333333333333334,0.7333333333333333,0.9166666666666666,0.8148148148148148
